Site,Hole,Core,CoreType,Section,CuratedLength,TopDepth,BottomDepth,TopDepthScaled,BottomDepthScaled
1,A,17,E,3,0.846,52.907,53.753,52.76694958,53.56181334
1,A,17,E,9,0.03,53.753,53.783,53.56181334,53.59
1,A,18,E,9,0.1,53.59,53.69,53.59,53.69
1,A,20,H,1,0.795,59.59,60.385,59.59,60.385
1,A,20,H,2,1.015,60.385,61.4,60.385,61.4
1,A,20,H,3,1.03,61.4,62.43,61.4,62.43
1,A,20,H,9,0.08,62.43,62.51,62.43,62.51
1,A,21,H,1,1.301,62.59,63.891000000000005,62.59,63.85147382
1,A,21,H,2,0.86,63.891000000000005,64.751,63.85147382,64.68534583
1,A,21,H,3,0.893,64.751,65.64399999999999,64.68534583,65.55121526
1,A,21,H,9,0.04,65.64399999999999,65.684,65.55121526,65.59
1,A,22,H,1,1.05,65.59,66.64,65.59,66.62075916
1,A,22,H,2,0.76,66.64,67.4,66.62075916,67.36683246
1,A,22,H,3,1.186,67.4,68.586,67.36683246,68.53109948
1,A,22,H,9,0.06,68.586,68.646,68.53109948,68.59
1,A,23,H,1,0.87,68.48,69.35,68.48,69.35
1,A,23,H,2,1.006,69.35,70.35600000000001,69.35,70.35600000000001
1,A,23,H,3,1.072,70.35600000000001,71.428,70.35600000000001,71.428
1,A,23,H,9,0.04,71.428,71.468,71.428,71.468
1,A,24,H,1,1.49,71.48,72.97,71.48,72.97
1,A,24,H,2,1.141,72.97,74.111,72.97,74.111
1,A,24,H,9,0.04,74.111,74.15100000000001,74.111,74.15100000000001
1,A,25,H,1,1.495,74.18,75.675,74.18,75.6529064
1,A,25,H,2,0.11,75.675,75.785,75.6529064,75.76128079
1,A,25,H,3,1.31,75.785,77.095,75.76128079,77.05192118
1,A,25,H,9,0.13,77.095,77.225,77.05192118,77.18
1,A,26,H,1,1.305,77.18,78.485,77.18,78.4723301
1,A,26,H,2,1.25,78.485,79.735,78.4723301,79.71019417
1,A,26,H,9,0.02,79.735,79.755,79.71019417,79.73
1,A,27,H,1,1.495,79.73,81.225,79.73,81.225
1,A,27,H,2,1.31,81.225,82.535,81.225,82.535
1,A,27,H,9,0.04,82.535,82.575,82.535,82.575
1,A,28,H,1,1.5019999999999998,82.73,84.23200000000001,82.73,84.20166309
1,A,28,H,2,0.815,84.23200000000001,85.04700000000001,84.20166309,85.00020198
1,A,28,H,9,0.01,85.04700000000001,85.057,85.00020198,85.01
1,A,29,H,1,0.285,85.01,85.295,85.01,85.29197452
1,A,29,H,2,1.1,85.295,86.395,85.29197452,86.38029724
1,A,29,H,3,0.95,86.395,87.345,86.38029724,87.32021231
1,A,29,H,9,0.02,87.345,87.365,87.32021231,87.34
1,A,30,H,1,0.253,87.34,87.59299999999999,87.34,87.54960039
1,A,30,H,2,0.7929999999999999,87.59299999999999,88.38600000000001,87.54960039,88.2065692
1,A,30,H,3,0.84,88.38600000000001,89.226,88.2065692,88.90247563
1,A,30,H,4,0.166,89.226,89.39200000000001,88.90247563,89.04
1,A,31,E,1,1.5,89.04,90.54,89.04,90.54
1,A,31,E,2,1.176,90.54,91.71600000000001,90.54,91.71600000000001
1,A,31,E,9,0.01,91.71600000000001,91.726,91.71600000000001,91.726
1,A,32,E,9,0.04,92.04,92.08,92.04,92.08
1,A,33,A,9,0.05,92.73,92.78,92.73,92.78
1,B,1,H,9,0.05,0.0,0.05,0.0,0.05
1,B,2,H,1,1.495,1.6,3.095,1.6,3.095
1,B,2,H,2,1.285,3.095,4.38,3.095,4.38
1,B,2,H,3,0.05,4.38,4.43,4.38,4.43
1,B,2,H,9,0.02,4.43,4.45,4.43,4.45
1,B,3,H,1,1.51,4.6,6.11,4.6,6.11
1,B,3,H,2,1.412,6.11,7.522,6.11,7.522
1,B,3,H,9,0.05,7.522,7.572,7.522,7.572
1,B,4,H,1,1.515,7.6,9.115,7.6,9.115
1,B,4,H,2,1.19,9.115,10.305,9.115,10.305
1,B,4,H,3,0.05,10.305,10.355,10.305,10.355
1,B,4,H,9,0.04,10.355,10.395,10.355,10.395
1,B,5,H,1,1.505,10.6,12.105,10.6,12.105
1,B,5,H,2,1.295,12.105,13.4,12.105,13.4
1,B,5,H,3,0.05,13.4,13.45,13.4,13.45
1,B,5,H,9,0.05,13.45,13.5,13.45,13.5
1,B,6,H,1,1.5119999999999998,13.6,15.112,13.6,15.112
1,B,6,H,2,1.345,15.112,16.457,15.112,16.457
1,B,6,H,3,0.05,16.457,16.507,16.457,16.507
1,B,6,H,9,0.07,16.507,16.577,16.507,16.577
1,B,7,H,1,1.52,16.53,18.05,16.53,18.05
1,B,7,H,2,1.025,18.05,19.075,18.05,19.075
1,B,7,H,3,0.05,19.075,19.125,19.075,19.125
1,B,7,H,9,0.095,19.125,19.22,19.125,19.22
1,B,8,H,1,1.51,19.43,20.94,19.43,20.93748752
1,B,8,H,2,1.365,20.94,22.305,20.93748752,22.30021631
1,B,8,H,3,0.05,22.305,22.355,22.30021631,22.35013311
1,B,8,H,9,0.08,22.355,22.435,22.35013311,22.43
1,B,9,H,1,1.5,22.43,23.93,22.43,23.92303251
1,B,9,H,2,1.429,23.93,25.359,23.92303251,25.34539482
1,B,9,H,9,0.085,25.359,25.444000000000003,25.34539482,25.43
1,B,10,H,1,0.67,25.43,26.1,25.43,26.1
1,B,10,H,2,0.88,26.1,26.98,26.1,26.98
1,B,10,H,9,0.1,26.98,27.08,26.98,27.08
